word	cat_v1
Straks	a1-stressed
stram	a1-stressed
strand	a1-stressed
strandt	a1-stressed
Swart	a1-stressed
tab	a1-stressed
tabs	a1-stressed
tact	a1-stressed
tak	a1-stressed
taks	a1-stressed
tal	a1-stressed
tam	a1-stressed
Tan	a1-stressed
tand	a1-stressed
tang	a1-stressed
tap	a1-stressed
tapt	a1-stressed
Tarn	a1-stressed
Tart	a1-stressed
Tartt	a1-stressed
tas	a1-stressed
Tas	a1-stressed
tast	a1-stressed
tjalk	a1-stressed
tracht	a1-stressed
trans	a1-stressed
Trans	a1-stressed
trant	a1-stressed
trap	a1-stressed
trapt	a1-stressed
trad	a1-stressed
Twan	a1-stressed
vacht	a1-stressed
vak	a1-stressed
val	a1-stressed
Val	a1-stressed
valk	a1-stressed
Valk	a1-stressed
valt	a1-stressed
vals	a1-stressed
van	a1-stressed
vang	a1-stressed
vangt	a1-stressed
vasts	a1-stressed
vast	a1-stressed
vat	a1-stressed
vlag	a1-stressed
vlagt	a1-stressed
vlak	a1-stressed
vlaks	a1-stressed
vlakt	a1-stressed
vlam	a1-stressed
vracht	a1-stressed
vrat	a1-stressed
wacht	a1-stressed
wad	a1-stressed
wak	a1-stressed
wal	a1-stressed
Wal	a1-stressed
walg	a1-stressed
walgt	a1-stressed
walm	a1-stressed
wals	a1-stressed
walst	a1-stressed
wand	a1-stressed
wang	a1-stressed
want	a1-stressed
warm	a1-stressed
warms	a1-stressed
warmt	a1-stressed
wars	a1-stressed
was	a1-stressed
wast	a1-stressed
wat	a1-stressed
Wat	a1-stressed
wrak	a1-stressed
wrang	a1-stressed
wrap	a1-stressed
wrat	a1-stressed
yang	a1-stressed
Yang	a1-stressed
zacht	a1-stressed
zak	a1-stressed
zakt	a1-stressed
zal	a1-stressed
zalf	a1-stressed
zalm	a1-stressed
Zalm	a1-stressed
zand	a1-stressed
Zand	a1-stressed
zang	a1-stressed
zapt	a1-stressed
zat	a1-stressed
zag	a1-stressed
zagt	a1-stressed
zwak	a1-stressed
zwalkt	a1-stressed
Zwalm	a1-stressed
zwam	a1-stressed
Zwan	a1-stressed
zwang	a1-stressed
zwart	a1-stressed
zwarts	a1-stressed
aak	aa1-stressed
aal	aa1-stressed
aan	aa1-stressed
aap	aa1-stressed
aar	aa1-stressed
aard	aa1-stressed
aardt	aa1-stressed
aards	aa1-stressed
aars	aa1-stressed
aas	aa1-stressed
aast	aa1-stressed
baad	aa1-stressed
Baaf	aa1-stressed
baak	aa1-stressed
Baak	aa1-stressed
baal	aa1-stressed
baan	aa1-stressed
Baan	aa1-stressed
baar	aa1-stressed
baard	aa1-stressed
Baarn	aa1-stressed
baars	aa1-stressed
baas	aa1-stressed
Baas	aa1-stressed
baat	aa1-stressed
baadt	aa1-stressed
baalt	aa1-stressed
baant	aa1-stressed
baart	aa1-stressed
blaag	aa1-stressed
blaak	aa1-stressed
Blaak	aa1-stressed
blaam	aa1-stressed
blaar	aa1-stressed
blaas	aa1-stressed
blaakt	aa1-stressed
blaast	aa1-stressed
braafst	aa1-stressed
braafs	aa1-stressed
braaf	aa1-stressed
braak	aa1-stressed
braam	aa1-stressed
Braamd	aa1-stressed
Braat	aa1-stressed
braakt	aa1-stressed
Chaam	aa1-stressed
Claas	aa1-stressed
czaar	aa1-stressed
Czaar	aa1-stressed
daad	aa1-stressed
daag	aa1-stressed
daags	aa1-stressed
daal	aa1-stressed
Daal	aa1-stressed
Daans	aa1-stressed
Daan	aa1-stressed
daar	aa1-stressed
daas	aa1-stressed
daagt	aa1-stressed
daalt	aa1-stressed
draad	aa1-stressed
draag	aa1-stressed
draak	aa1-stressed
Draas	aa1-stressed
draagt	aa1-stressed
draaf	aa1-stressed
draaft	aa1-stressed
dwaas	aa1-stressed
dwaal	aa1-stressed
dwaalt	aa1-stressed
faam	aa1-stressed
faalt	aa1-stressed
gaaf	aa1-stressed
Gaag	aa1-stressed
Gaal	aa1-stressed
gaan	aa1-stressed
Gaan	aa1-stressed
gaat	aa1-stressed
gaand	aa1-stressed
gaar	aa1-stressed
gaas	aa1-stressed
gaapt	aa1-stressed
graad	aa1-stressed
graaf	aa1-stressed
Graaf	aa1-stressed
Graaff	aa1-stressed
graag	aa1-stressed
graal	aa1-stressed
graan	aa1-stressed
graat	aa1-stressed
Graat	aa1-stressed
graaft	aa1-stressed
graast	aa1-stressed
Haacht	aa1-stressed
Haaf	aa1-stressed
haag	aa1-stressed
Haags	aa1-stressed
haak	aa1-stressed
haaks	aa1-stressed
haal	aa1-stressed
haan	aa1-stressed
haar	aa1-stressed
haars	aa1-stressed
haard	aa1-stressed
haas	aa1-stressed
Haas	aa1-stressed
haast	aa1-stressed
haat	aa1-stressed
haakt	aa1-stressed
haalt	aa1-stressed
Jaak	aa1-stressed
Jaan	aa1-stressed
Jaaps	aa1-stressed
Jaap	aa1-stressed
jaar	aa1-stressed
jaag	aa1-stressed
jaagt	aa1-stressed
Kaag	aa1-stressed
kaak	aa1-stressed
kaal	aa1-stressed
kaan	aa1-stressed
Kaan	aa1-stressed
kaap	aa1-stressed
Kaap	aa1-stressed
kaars	aa1-stressed
Kaarts	aa1-stressed
kaart	aa1-stressed
Kaart	aa1-stressed
kaas	aa1-stressed
Kaat	aa1-stressed
kaatst	aa1-stressed
klaar	aa1-stressed
Klaas	aa1-stressed
klaag	aa1-stressed
klaagt	aa1-stressed
klaart	aa1-stressed
knaak	aa1-stressed
knaap	aa1-stressed
Knaap	aa1-stressed
knaagt	aa1-stressed
kwaamt	aa1-stressed
kraag	aa1-stressed
kraak	aa1-stressed
kraal	aa1-stressed
Kraal	aa1-stressed
kraam	aa1-stressed
kraan	aa1-stressed
kraakt	aa1-stressed
kwaad	aa1-stressed
kwaads	aa1-stressed
kwaal	aa1-stressed
kwaakt	aa1-stressed
laagst	aa1-stressed
laags	aa1-stressed
laag	aa1-stressed
Laak	aa1-stressed
laan	aa1-stressed
Laan	aa1-stressed
Laar	aa1-stressed
laars	aa1-stressed
laatst	aa1-stressed
laat	aa1-stressed
laats	aa1-stressed
laad	aa1-stressed
laadt	aa1-stressed
laagt	aa1-stressed
maag	aa1-stressed
maagd	aa1-stressed
maak	aa1-stressed
maal	aa1-stressed
maan	aa1-stressed
Maan	aa1-stressed
maand	aa1-stressed
maar	aa1-stressed
Maar	aa1-stressed
Maarn	aa1-stressed
maart	aa1-stressed
maas	aa1-stressed
Maas	aa1-stressed
maat	aa1-stressed
maakt	aa1-stressed
maalt	aa1-stressed
maant	aa1-stressed
naad	aa1-stressed
naakt	aa1-stressed
naald	aa1-stressed
naam	aa1-stressed
Naam	aa1-stressed
naars	aa1-stressed
naar	aa1-stressed
Naas	aa1-stressed
naas	aa1-stressed
Naast	aa1-stressed
Naat	aa1-stressed
naamt	aa1-stressed
Paak	aa1-stressed
paal	aa1-stressed
paap	aa1-stressed
paar	aa1-stressed
paard	aa1-stressed
paars	aa1-stressed
Paas	aa1-stressed
plaag	aa1-stressed
plaat	aa1-stressed
plaats	aa1-stressed
plaatst	aa1-stressed
plaagt	aa1-stressed
Praag	aa1-stressed
Praags	aa1-stressed
praal	aa1-stressed
praam	aa1-stressed
praat	aa1-stressed
praalt	aa1-stressed
raad	aa1-stressed
Raad	aa1-stressed
raaf	aa1-stressed
Raaf	aa1-stressed
raak	aa1-stressed
raam	aa1-stressed
raap	aa1-stressed
raar	aa1-stressed
raarst	aa1-stressed
raars	aa1-stressed
raas	aa1-stressed
Raas	aa1-stressed
raadt	aa1-stressed
raakt	aa1-stressed
raapt	aa1-stressed
raast	aa1-stressed
Saab	aa1-stressed
Saar	aa1-stressed
schaaf	aa1-stressed
schaak	aa1-stressed
schaal	aa1-stressed
schaam	aa1-stressed
Schaam	aa1-stressed
schaap	aa1-stressed
schaar	aa1-stressed
schaars	aa1-stressed
schaats	aa1-stressed
schaatst	aa1-stressed
schaadt	aa1-stressed
schaakt	aa1-stressed
schaamt	aa1-stressed
schaart	aa1-stressed
schaaft	aa1-stressed
Sjaak	aa1-stressed
sjaal	aa1-stressed
sjaals	aa1-stressed
Sjaan	aa1-stressed
slaaf	aa1-stressed
slaafs	aa1-stressed
slaag	aa1-stressed
slaan	aa1-stressed
slaat	aa1-stressed
slaap	aa1-stressed
slaagt	aa1-stressed
slaakt	aa1-stressed
slaapt	aa1-stressed
smaad	aa1-stressed
smaak	aa1-stressed
smaakt	aa1-stressed
snaak	aa1-stressed
snaar	aa1-stressed
spaak	aa1-stressed
Spaan	aa1-stressed
Spaans	aa1-stressed
spaar	aa1-stressed
Spaar	aa1-stressed
spaart	aa1-stressed
spraak	aa1-stressed
Spraak	aa1-stressed
staaf	aa1-stressed
Staaf	aa1-stressed
staal	aa1-stressed
staan	aa1-stressed
staand	aa1-stressed
staat	aa1-stressed
staar	aa1-stressed
staart	aa1-stressed
staats	aa1-stressed
staak	aa1-stressed
staakt	aa1-stressed
staaft	aa1-stressed
straal	aa1-stressed
straat	aa1-stressed
straalt	aa1-stressed
Swaak	aa1-stressed
Taag	aa1-stressed
taak	aa1-stressed
taal	aa1-stressed
Taal	aa1-stressed
taart	aa1-stressed
traag	aa1-stressed
traan	aa1-stressed
tsaar	aa1-stressed
Tsjaad	aa1-stressed
twaalf	aa1-stressed
vaags	aa1-stressed
vaag	aa1-stressed
vaakst	aa1-stressed
vaak	aa1-stressed
vaal	aa1-stressed
Vaals	aa1-stressed
vaan	aa1-stressed
vaart	aa1-stressed
Vaart	aa1-stressed
vaas	aa1-stressed
Vaasch	aa1-stressed
vaat	aa1-stressed
vaar	aa1-stressed
vlaag	aa1-stressed
Vlaams	aa1-stressed
vraag	aa1-stressed
vraagt	aa1-stressed
waag	aa1-stressed
Waag	aa1-stressed
waaks	aa1-stressed
waal	aa1-stressed
Waal	aa1-stressed
Waals	aa1-stressed
waan	aa1-stressed
waars	aa1-stressed
waar	aa1-stressed
waard	aa1-stressed
waas	aa1-stressed
waadt	aa1-stressed
waagt	aa1-stressed
waakt	aa1-stressed
waant	aa1-stressed
waart	aa1-stressed
wraak	aa1-stressed
zaad	aa1-stressed
zaag	aa1-stressed
zaaks	aa1-stressed
zaak	aa1-stressed
zaal	aa1-stressed
Zaan	aa1-stressed
zaagt	aa1-stressed
Zwaag	aa1-stressed
zwaan	aa1-stressed
Zwaan	aa1-stressed
zwaarst	aa1-stressed
zwaars	aa1-stressed
zwaar	aa1-stressed
zwaard	aa1-stressed
Ga	aa1-stressed
ga	aa1-stressed
fa	aa1-stressed
ja	aa1-stressed
la	aa1-stressed
La	aa1-stressed
Ma	aa1-stressed
ma	aa1-stressed
na	aa1-stressed
Na	aa1-stressed
ska	aa1-stressed
sla	aa1-stressed
spa	aa1-stressed
Spa	aa1-stressed
sta	aa1-stressed
Vla	aa1-stressed
vla	aa1-stressed
